date,coin,marketCap
2016-12-18,Bitcoin,12654965391
2016-12-11,Bitcoin,12320826025
2016-12-04,Bitcoin,12280532758
2016-11-27,Bitcoin,11652161720
2016-11-20,Bitcoin,11652611522
2016-11-13,Bitcoin,11220193118
2016-11-06,Bitcoin,11367022668
2016-10-30,Bitcoin,11121149987
2016-10-23,Bitcoin,10353442543
2016-10-16,Bitcoin,10195309967
2016-10-09,Bitcoin,9781273121
2016-10-02,Bitcoin,9705298189
2016-09-25,Bitcoin,9522044920
2016-09-18,Bitcoin,9664864143
2016-09-11,Bitcoin,9601743135
2016-09-04,Bitcoin,9647700437
2016-08-28,Bitcoin,9083223370
2016-08-21,Bitcoin,9187908144
2016-08-14,Bitcoin,9024984100
2016-08-07,Bitcoin,9364319559
2016-07-31,Bitcoin,9847086966
2016-07-24,Bitcoin,10425364937
2016-07-17,Bitcoin,10694420116
2016-07-10,Bitcoin,10244077501
2016-07-03,Bitcoin,10456041581
2016-06-26,Bitcoin,9882102247
2016-06-19,Bitcoin,11978503075
2016-06-12,Bitcoin,10512767357
2016-06-05,Bitcoin,8975651028
2016-05-29,Bitcoin,8182390025
2016-05-22,Bitcoin,6831902516
2016-05-15,Bitcoin,7118621365
2016-05-08,Bitcoin,7129139993
2016-05-01,Bitcoin,7012822522
2016-04-24,Bitcoin,7114859335
2016-04-17,Bitcoin,6610502491
2016-04-10,Bitcoin,6492839084
2016-04-03,Bitcoin,6435354873
2016-03-27,Bitcoin,6535264077
2016-03-20,Bitcoin,6317806513
2016-03-13,Bitcoin,6316587497
2016-03-06,Bitcoin,6189869498
2016-02-28,Bitcoin,6605163875
2016-02-21,Bitcoin,6684028071
2016-02-14,Bitcoin,6147686974
2016-02-07,Bitcoin,5701239913
2016-01-31,Bitcoin,5520342696
2016-01-24,Bitcoin,6094932221
2016-01-17,Bitcoin,5830189311
2016-01-10,Bitcoin,6738604517
2016-01-03,Bitcoin,6470199430
2015-12-27,Bitcoin,6364767558
2015-12-20,Bitcoin,6610549658
2015-12-13,Bitcoin,6517994663
2015-12-06,Bitcoin,5881283994
2015-11-29,Bitcoin,5534688266
2015-11-22,Bitcoin,4809449591
2015-11-15,Bitcoin,4757160339
2015-11-08,Bitcoin,5504396533
2015-11-01,Bitcoin,4806796483
2015-10-25,Bitcoin,4203955930
2015-10-18,Bitcoin,3864772726
2015-10-11,Bitcoin,3640379548
2015-10-04,Bitcoin,3505203182
2015-09-27,Bitcoin,3413577895
2015-09-20,Bitcoin,3375670111
2015-09-13,Bitcoin,3367623264
2015-09-06,Bitcoin,3487336313
2015-08-30,Bitcoin,3319968529
2015-08-23,Bitcoin,3302029053
2015-08-16,Bitcoin,3739450599
2015-08-09,Bitcoin,3811337989
2015-08-02,Bitcoin,4062048251
2015-07-26,Bitcoin,4205901558
2015-07-19,Bitcoin,3926969933
2015-07-12,Bitcoin,4459352693
2015-07-05,Bitcoin,3889432509
2015-06-28,Bitcoin,3557369716
2015-06-21,Bitcoin,3488836375
2015-06-14,Bitcoin,3324945179
2015-06-07,Bitcoin,3181906061
2015-05-31,Bitcoin,3266430207
2015-05-24,Bitcoin,3424926508
2015-05-17,Bitcoin,3335463663
2015-05-10,Bitcoin,3384490103
2015-05-03,Bitcoin,3387421698
2015-04-26,Bitcoin,3080176877
2015-04-19,Bitcoin,3133241392
2015-04-12,Bitcoin,3309551886
2015-04-05,Bitcoin,3641795730
2015-03-29,Bitcoin,3384336376
2015-03-22,Bitcoin,3740905134
2015-03-15,Bitcoin,3977863689
2015-03-08,Bitcoin,3821054906
2015-03-01,Bitcoin,3580465594
2015-02-22,Bitcoin,3266702003
2015-02-15,Bitcoin,3224923704
2015-02-08,Bitcoin,3079497925
2015-02-01,Bitcoin,3119897131
2015-01-25,Bitcoin,3493324596
2015-01-18,Bitcoin,2871292169
2015-01-11,Bitcoin,3664201454
2015-01-04,Bitcoin,3571639781
2014-12-28,Bitcoin,4322768587
2014-12-21,Bitcoin,4353792202
2014-12-14,Bitcoin,4764706151
2014-12-07,Bitcoin,5086108462
2014-11-30,Bitcoin,5104546201
2014-11-23,Bitcoin,4963794289
2014-11-16,Bitcoin,5236180276
2014-11-09,Bitcoin,4900092961
2014-11-02,Bitcoin,4359606957
2014-10-26,Bitcoin,4702361471
2014-10-19,Bitcoin,5185875585
2014-10-12,Bitcoin,5005060918
2014-10-05,Bitcoin,4340421694
2014-09-28,Bitcoin,5009825167
2014-09-21,Bitcoin,5274312253
2014-09-14,Bitcoin,6299010306
2014-09-07,Bitcoin,6363333296
2014-08-31,Bitcoin,6342575501
2014-08-24,Bitcoin,6698642065
2014-08-17,Bitcoin,6508254264
2014-08-10,Bitcoin,7723612746
2014-08-03,Bitcoin,7669135008
2014-07-27,Bitcoin,7715896689
2014-07-20,Bitcoin,8093609699
2014-07-13,Bitcoin,8154939571
2014-07-06,Bitcoin,8195697096
2014-06-29,Bitcoin,7758488115
2014-06-22,Bitcoin,7694627831
2014-06-15,Bitcoin,7526353631
2014-06-08,Bitcoin,8445489607
2014-06-01,Bitcoin,8094125581
2014-05-25,Bitcoin,7325371780
2014-05-18,Bitcoin,5706165793
2014-05-11,Bitcoin,5598956479
2014-05-04,Bitcoin,5554777406
2014-04-27,Bitcoin,5542720307
2014-04-20,Bitcoin,6312896984
2014-04-13,Bitcoin,5234667259
2014-04-06,Bitcoin,5808861023
2014-03-30,Bitcoin,5912148997
2014-03-23,Bitcoin,7127031703
2014-03-16,Bitcoin,7883319532
2014-03-09,Bitcoin,7947989895
2014-03-02,Bitcoin,6997269851
2014-02-23,Bitcoin,7746491782
2014-02-16,Bitcoin,7614456286
2014-02-09,Bitcoin,8315656524
2014-02-02,Bitcoin,10323662258
2014-01-26,Bitcoin,10508799200
2014-01-19,Bitcoin,10293335273
2014-01-12,Bitcoin,10630187711
2014-01-05,Bitcoin,11207538944
2013-12-29,Bitcoin,8855251580
2013-12-22,Bitcoin,7907201916
2013-12-15,Bitcoin,10363485334
2013-12-08,Bitcoin,8987358118
2013-12-01,Bitcoin,12464724345
2013-11-24,Bitcoin,9196532447
2013-11-17,Bitcoin,5862542038
2013-11-10,Bitcoin,3747322075
2013-11-03,Bitcoin,2537555912
2013-10-27,Bitcoin,2260913266
2013-10-20,Bitcoin,2042261829
2013-10-13,Bitcoin,1603402413
2013-10-06,Bitcoin,1505549223
2013-09-29,Bitcoin,1650965841
2013-09-22,Bitcoin,1506534274
2013-09-15,Bitcoin,1520967287
2013-09-08,Bitcoin,1420952396
2013-09-01,Bitcoin,1607960283
2013-08-25,Bitcoin,1415749000
2013-08-18,Bitcoin,1323762440
2013-08-11,Bitcoin,1197378682
2013-08-04,Bitcoin,1206152150
2013-07-28,Bitcoin,1078286703
2013-07-21,Bitcoin,1021492656
2013-07-14,Bitcoin,1090715949
2013-07-07,Bitcoin,774804401
2013-06-30,Bitcoin,1082693996
2013-06-23,Bitcoin,1214260369
2013-06-16,Bitcoin,1129287060
2013-06-09,Bitcoin,1220874393
2013-06-02,Bitcoin,1362684200
2013-05-26,Bitcoin,1507769010
2013-05-19,Bitcoin,1346499262
2013-05-12,Bitcoin,1278708679
2013-05-05,Bitcoin,1298377788
2013-04-28,Bitcoin,1500517590
2025-02-23,Ethereum,333381856894
2025-02-16,Ethereum,324625278432
2025-02-09,Ethereum,317758860999
2025-02-02,Ethereum,376840076477
2025-01-26,Ethereum,400427749274
2025-01-19,Ethereum,398761138447
2025-01-12,Ethereum,395839071861
2025-01-05,Ethereum,441117087325
2024-12-29,Ethereum,409451576911
2024-12-22,Ethereum,401314595520
2024-12-15,Ethereum,465713274664
2024-12-08,Ethereum,481889176556
2024-12-01,Ethereum,446851521666
2024-11-24,Ethereum,408448492183
2024-11-17,Ethereum,376904025324
2024-11-10,Ethereum,376942816358
2024-11-03,Ethereum,299972542554
2024-10-27,Ethereum,298518432455
2024-10-20,Ethereum,318975355966
2024-10-13,Ethereum,298282533565
2024-10-06,Ethereum,290706276903
2024-09-29,Ethereum,322761939149
2024-09-22,Ethereum,315153052834
2024-09-15,Ethereum,290912717944
2024-09-08,Ethereum,273350308346
2024-09-01,Ethereum,302383496015
2024-08-25,Ethereum,332950073031
2024-08-18,Ethereum,314212508914
2024-08-11,Ethereum,313697482213
2024-08-04,Ethereum,349395441871
2024-07-28,Ethereum,391424161951
2024-07-21,Ethereum,423550664964
2024-07-14,Ethereum,381711250543
2024-07-07,Ethereum,368279414919
2024-06-30,Ethereum,405186539488
2024-06-23,Ethereum,427271533995
2024-06-16,Ethereum,428318893970
2024-06-09,Ethereum,442391279530
2024-06-02,Ethereum,457995091025
2024-05-26,Ethereum,450038598582
2024-05-19,Ethereum,375206332442
2024-05-12,Ethereum,349391330492
2024-05-05,Ethereum,374188248701
2024-04-28,Ethereum,397162781507
2024-04-21,Ethereum,378601475455
2024-04-14,Ethereum,363676686679
2024-04-07,Ethereum,403433979836
2024-03-31,Ethereum,420903294888
2024-03-24,Ethereum,402787267255
2024-03-17,Ethereum,422006707853
2024-03-10,Ethereum,470299637818
2024-03-03,Ethereum,411127183432
2024-02-25,Ethereum,358958857166
2024-02-18,Ethereum,335189522077
2024-02-11,Ethereum,300386801746
2024-02-04,Ethereum,275659236415
2024-01-28,Ethereum,272538684736
2024-01-21,Ethereum,296860256191
2024-01-14,Ethereum,309464480794
2024-01-07,Ethereum,269489631472
2023-12-31,Ethereum,275712397143
2023-12-24,Ethereum,278079278701
2023-12-17,Ethereum,267401843617
2023-12-10,Ethereum,281067496145
2023-12-03,Ethereum,260240551667
2023-11-26,Ethereum,250789193105
2023-11-19,Ethereum,236086751711
2023-11-12,Ethereum,246828307404
2023-11-05,Ethereum,223507407758
